comment,The Stuyvesant Schedules,,,
property,spring-pt,urlarg,fri_pt,
property,spring-pt,description,Friday-Parent/Teacher,
period,spring-pt,Before School,12:00a,8:15a
period,spring-pt,Period 1,8:15a,8:35a
period,spring-pt,Period 2,8:39a,8:59a
period,spring-pt,Period 3,9:03a,9:23a
period,spring-pt,Period 4,9:27a,9:47a
period,spring-pt,Period 5,9:51a,10:11a
period,spring-pt,Period 6,10:15a,10:35a
period,spring-pt,Period 7,10:39a,10:59a
period,spring-pt,Period 8,11:03a,11:23a
period,spring-pt,Period 9,11:27a,11:47a
period,spring-pt,Period 10,11:51a,12:11p
period,spring-pt,Lunch,12:15p,12:56p
period,spring-pt,Parent/Teacher Conf,1:00p,3:00p
period,spring-pt,After School,3:00p,11:59p
,,,,
property,spring-2012-second-day,button,Wed Feb 1,
property,spring-2012-second-day,urlarg,spring_2012_second,
property,spring-2012-second-day,description,Wed Feb 1,
period,spring-2012-second-day,Before School,12:00a,8:00a
period,spring-2012-second-day,Period 1,8:00a,8:30a
period,spring-2012-second-day,Period 2,8:35a,9:05a
period,spring-2012-second-day,Period 3,9:10a,9:40a
period,spring-2012-second-day,Period 4,9:45a,10:15a
period,spring-2012-second-day,Period 5,10:20a,10:50a
period,spring-2012-second-day,Period 6,10:55a,11:25a
period,spring-2012-second-day,Period 7,11:30a,12:00p
period,spring-2012-second-day,Period 8,12:05p,12:35p
period,spring-2012-second-day,Period 9,12:40p,1:10p
period,spring-2012-second-day,Period 10,1:15p,1:45p
period,spring-2012-second-day,After School,1:45p,11:59p
,,,,
property,spring-2012-last-day,button,Tue June 26,
property,spring-2012-last-day,urlarg,spring_2012_last,
property,spring-2012-last-day,description,Last day of classes,
period,spring-2012-last-day,Before School,12:00a,8:30a
period,spring-2012-last-day,Period 1,8:30a,8:55a
period,spring-2012-last-day,Period 2,8:59a,9:24a
period,spring-2012-last-day,Period 3,9:28a,9:53a
period,spring-2012-last-day,Period 4,9:57a,10:22a
period,spring-2012-last-day,Period 5,10:26a,10:51a
period,spring-2012-last-day,Period 6,10:55a,11:20a
period,spring-2012-last-day,Period 7,11:24a,11:49a
period,spring-2012-last-day,Period 8,11:53a,12:18p
period,spring-2012-last-day,Period 9,12:22p,12:47p
period,spring-2012-last-day,Period 10,12:51p,1:16p
period,spring-2012-last-day,After School,1:16p,11:59p
,,,,
property,prog-changes,button,Wed 2/5,
property,prog-changes,urlarg,prog_changes,
property,prog-changes,description,Wed program changes,
period,prog-changes,Before School,12:00a,8:00a
period,prog-changes,Period 1,8:00a,8:35a
period,prog-changes,Period 2,8:39a,9:14a
period,prog-changes,Period 3,9:18a,9:53a
period,prog-changes,Period 4,9:57a,10:32a
period,prog-changes,Period 5,10:36a,11:11a
period,prog-changes,Period 6,11:16a,11:51a
period,prog-changes,Period 7,11:55a,12:30p
period,prog-changes,Period 8,12:34p,1:11p
period,prog-changes,Period 9,1:15p,1:50p
period,prog-changes,Period 10,1:54p,2:29p
period,prog-changes,Program Changes,2:30p,3:30p
period,prog-changes,After School,3:30p,11:59p
,,,,
property,new-fall-psat,button,Wed-PSAT,
property,new-fall-psat,urlarg,wed_psat,
property,new-fall-psat,description,Wed PSAT,
period,new-fall-psat,Before School,12:00a,8:00a
period,new-fall-psat,Teacher prep,8:00a,8:30a
period,new-fall-psat,PSAT,8:30a,11:36a
period,new-fall-psat,Period 1,11:40a,12:00p
period,new-fall-psat,Period 2,12:04p,12:24p
period,new-fall-psat,Period 3,12:28p,12:48p
period,new-fall-psat,Period 4,12:52p,1:12p
period,new-fall-psat,Period 5,1:16p,1:36p
period,new-fall-psat,Period 6,1:40p,2:00p
period,new-fall-psat,Period 7,2:04p,2:24p
period,new-fall-psat,Period 8,2:28p,2:48p
period,new-fall-psat,After School,2:48p,11:59p
,,,,
property,amc-2015,button,Tue-AMC,
property,amc-2015,urlarg,tue-amc,
property,amc-2015,description,Tues - AMC,
period,amc-2015,Before School,12:00a,8:00a
period,amc-2015,Arrival,8:00a,8:15a
period,amc-2015,Homeroom,8:15a,8:35a
period,amc-2015,Period 1,8:40a,9:00a
period,amc-2015,Period 2,9:04a,9:24a
period,amc-2015,Period 3,9:28a,9:48a
period,amc-2015,Period 4,9:52a,10:12a
period,amc-2015,Period 5,10:17a,10:37a
period,amc-2015,Period 6,10:42a,11:02a
period,amc-2015,Period 7,11:07a,11:27a
period,amc-2015,Period 8,11:32a,11:52a
period,amc-2015,Period 9,11:56a,12:16p
period,amc-2015,Period 10,12:20p,12:40p
period,amc-2015,Program changes,12:40p,1:10p
period,amc-2015,AMC exam,1:10p,2:50p
period,amc-2015,After school,2:50p,11:59p
,,,,
property,mosl,button,Wed-MOSL,
property,mosl,urlarg,mosl,
property,mosl,description,Wed-MOSL,
period,mosl,Before School,12:00a,8:10a
period,mosl,Period 1,8:10a,8:35a
period,mosl,Period 2,8:39a,9:04a
period,mosl,Period 3,9:08a,9:33a
period,mosl,Period 4,9:37a,10:02a
period,mosl,Period 5,10:06a,10:31a
period,mosl,Period 6,10:35a,11:00a
period,mosl,Period 7,11:04a,11:29a
period,mosl,Period 8,11:33a,11:58a
period,mosl,Period 9,12:02p,12:27p
period,mosl,Period 10,12:31p,12:56p
period,mosl,MOSL,1:10p,2:50p
period,mosl,After School,2:50p,11:59p
,,,,
property,student-survey,button,Tues student-survey,
property,student-survey,urlarg,student-survey,
property,student-survey,description,Tues Student Survey,
period,student-survey,Before school,12:00a,8:00a
period,student-survey,Period 1,8:00a,8:40a
period,student-survey,Period 2,8:45a,9:25a
period,student-survey,Period 3,9:29a,10:26a
period,student-survey,Period 4,10:30a,11:10a
period,student-survey,Period 5,11:14a,11:54a
period,student-survey,Period 6,11:58a,12:38p
period,student-survey,Period 7,12:42p,1:22p
period,student-survey,Period 8,1:26p,2:06p
period,student-survey,Period 9,2:10p,2:50p
period,student-survey,Period 10,2:55p,3:35p
period,student-survey,After school,3:35p,11:59p
,,,,
property,sat-psat,button,Wed-SAT,
property,sat-psat,urlarg,sat-psat,
property,sat-psat,description,Wed-SAT,
period,sat-psat,Before school,12:00a,8:00a
period,sat-psat,SAT-PSAT prep,8:00a,9:15a
period,sat-psat,Testing,9:15a,12:30p
period,sat-psat,Lunch,12:30p,1:00p
period,sat-psat,Period 1,1:00p,1:07p
period,sat-psat,Period 2,1:11p,1:18p
period,sat-psat,Period 3,1:22p,1:29p
period,sat-psat,Period 4,1:33p,1:40p
period,sat-psat,Period 5,1:44p,1:51p
period,sat-psat,Period 6,1:55p,2:02p
period,sat-psat,Period 7,2:06p,2:13p
period,sat-psat,Period 8,2:17p,2:24p
period,sat-psat,Period 9,2:28p,2:35p
period,sat-psat,Period 10,2:39p,2:46p
period,sat-psat,After school,2:46P,11:59p
,,,,
property,Homeroom-20,button,Tue-Homeroom,
property,Homeroom-20,urlarg,Tue-Homeroom,
property,Homeroom-20,description,Tues-Homeroom,
